Author,Content
"
祸祸完人就不给钱
","


邻居老伞和隔壁小孩是忘年之交，小孩外出打工三年才会，乍一见面，老伞本想给小孩来个小鸟依人热情洋溢的抱抱 ，结果一下子把小孩扑了个后空翻，跟头把式的。小孩起来揉揉生疼的屁股拍了拍屁股上的土：麻蛋  说好的小鸟依人呢？没有小鸟依人不说， 老伞颌下一副扎里扎撒黑钢髯， 犹如钢针， 恰似铁线 ， 特么的扎的我好疼，老伞挠了挠头：这三年，，是兵荒马乱的三年，风风火火的三年，破马张飞的三年，一想你就拼命吃东西，结果思念越深，体重越重。话说老伞是哲人骚客，这些年毁人不倦，为了仿古在书房挂了一副对联，上联：
…
查看全文"
"
夏有凉风秋望月
","


自从老妈让我给老公多加零花钱后，每一次去我妈家，都非拉着我老公打三 人 麻 将，而我老公每次都输了血本无归。我在想，到底是二老中的谁在套路我们夫妻俩[生气了][生气了][生气了]

"
"
忧郁的创可贴
","


家住九楼，每天来来回回乘坐电梯都能带回来几只蚊子，很是烦恼。后来听同事说，可以在八楼或者十楼下电梯，然后走楼梯回家，这样能避免把蚊子带回家，我眼前一亮，真是个好主意啊!昨天，我从十楼往下走的时候，碰见了 十楼的邻居 正在往上走。。。

"
"
惨剧见多了
","


今天骑自行车通勤上下班，没带手电，路过一乌漆麻黑的道路，正好一外卖小哥骑着电动车经过，就在我后面照了两公里。到了大路跟外卖小哥到了一声谢，外卖小哥冲我挥了挥手。虽然不是什么笑话，但是那一刻确实很感动，祝不知道姓名的外卖小哥出入平安，月入十万！[捂脸]

"
"
忧郁的创可贴
","


最近没日没夜忙订货会，中午在食堂跟上司一边吃饭一边讨论活动方案和细节，讲的太投入，忽然嘴里一麻，脑袋一震，然后吐出来一块小石头和半颗牙齿。。。看着上司懵逼的表情，我弱弱问了一句:  领导，这算工伤吗？

"
"
胖香
","


天气太热，心情烦躁，闺女还不听话。我骂道：你就气我吧，把我气死了，给你找个后妈，看她怎么收拾你！闺女想想，认真的说：那她会偷吃我们的零食吗？

"
"
璃白°
","


我堂哥很帅,惹了附近离婚单身女性,非赖着嫁给他.万般无赖,他装疯卖傻,让家人说他有神经病,这女性不信,除非你把猪粪吃喽,并说如果不娶她,她就去自尽,哭哭啼啼的.7岁的我,看到这难解的情况,为了帮堂哥早日脱离苦海,我去猪舍舀了满满一盆猪粪递给堂哥,眼神坚定的鼓励他.....

"
"
净心居士
","


当年在大学的时候同桌问我:中午吃什么？我回答道:吃食堂。连续问了我几遍我回答都是吃食堂。中午在刷校园网时，看到一个视频，还配上文字:中午吃什么？吃 屎 汤[捂脸][捂脸][捂脸]

"
"
夏有凉风秋望月
","


记得上学那阵儿，三妹用零花钱买了盒蛋糕，因为造型太萌不忍心吃，我俩看了好久，我决定挺身而出，趁她上厕所的功夫，一阵大快朵颐，囫囵吞枣之后——顿时就馋了。我珍藏款的手链就这么被三妹掠走了，不然告诉老妈，会停掉我一个月的零花钱！

"
"
天热打鼓球
","


初中时。有天回家老爸问我，今天看到你和一女孩子，手牵手，很亲呢的样子，她是谁啊？我大脑高速运转后，装做漫不经心的答道：哦，那是我表妹。我想了三天三夜也没想明白，这么天衣无缝的说词居然会被老爸一眼就识破了！

"
"
小四家的巫婆
","


闺蜜公司新来了一个妹子，晚上聚餐，闺蜜带着那个妹子去了。刚开始敬酒，那个妹子推说不会喝酒，我们也就不勉强她了。后来我们喝的差不多了，那妹子出去接了个电话，回来拼命地找公司同事灌酒，那是闺蜜同事们醉的最凄惨地一次………

"
"
卖火柴的小妮子
","


公司仓库外发数量不准，导致一万多块钱的加工费扯不清楚，上司知道后，没经过我同意，直接开了一张通告负激励我1000/直接责任人2000。我直接冲进她办公室咆哮：为什么罚那么重也不和我商量下？她一把把我领子抓住：你是不是混矮骡子混蒙了，等到审计部出手，那是3000的问题么，我这是先下手堵他们的嘴啊。。。。。

"
"
高分影视推荐
","


周末和媳妇一起出去玩，看见一个花海特别漂亮，媳妇就蹲进去让我给她拍个照。结果我拍的时候，两个小男孩路过嘀咕：你看那个女的多没素质，大白天花丛里面拉屎！另一个说：“那个男的更不要脸，还偷拍人家拉屎”

"
"
坏小孩cium
","


真事儿不割………记得生妞妞的时候，在产床上正使劲儿呢，旁边的手机来电话了，我一看是幼儿园学生家长，让护士赶紧递给我义无反顾的接起来电话说：姐，您先稍等会儿，我先 生个孩子，一会儿给您回过去。。。

"
"
出门太难
","


前天早上，要去上班的时候，我刚把电动车推出来，转身锁大门，也不知道从哪里跑来只疯狗，在我屁 股上咬了一口就跑了。。。急诊室的医生，在给我处理伤口时说：好险呐！你的屁 股，差点就破相了！！我哭笑不得。一打听，打五针狂 犬 病 疫 苗，再加上化验啥的，最少也得一千五、六！我倒吸了一口冷气！特么的，这狗哪里是咬 人，分明就是打 劫啊！！！

"
"
大小可爱爱爱
","


晚上下班，准备打车回家！在路口拦了半天，没一部车 敢 停，忍不住问不远处的 交 警 叔  叔，:这个地方今天怎么车都不停呀？交 警:你傻 呀，离 我远 点看他停不停？恍然大 悟……

"
"
璃白°
","


上班的路上，看到女上司和一个男人在拐角处辩论，情绪有点上头，特喵的搞什么玩意，欺负女人，我脱下高跟鞋，冲上去高跟鞋就往那男人脑袋上问候。。。一声哎呦，一声老公格外让我心里凉凉。。。

"
"
义行天下7
","


在外上班！有次老家有急事，去买动 车票，二等座已经买完了，一等座也没了，无奈只好花 几 倍的价 钱买了个商务座！第一次坐商务座椅，别说感觉就是不一样，看到不少成功人士都在玩笔记本，电话谈生意都是好几十W甚至上百W的生意！特么我就厉害了，忙着研究商务座椅的功能！！！

"
"
姐姐掉沟里了
","


不小心扭伤了脚踝，疼得我直叫唤。男友把我的脚放在他腿上，帮我揉了几下，眼泪哗哗哗的往下直淌。我感动得想哭，带着哭腔安慰他：别哭！一点小伤而已！休息几天就好了！！男友一听，眼泪淌得更快了。我伸手揉着他凌乱的黑发，发自肺腑的说：快别伤心了！等我回去和我爸妈商量一下，彩礼钱能免就尽量免了吧！这样，以后我们结了婚，就不必天天挂着还帐了！！男友推开我的手，说：想啥呢？主要是你的脚味太大了，呛鼻子啊！！卧槽！原来是我自作多情啊！！[捂脸][捂脸]

"
"
-小门神~
","


和爸妈去公园，老爹惹老妈生气了！老妈独自开车回家，撇下我们父子不管！临走时，她摇下车窗说:你们父子给我两条腿走回来，不许打车否则，哼…我怕老爹吃不消，就背着他走了七里地！到家后，老妈问我:你咋背着你爹？我气喘道:是你让我们用两条腿走回来，可我和老爹加一块儿有四条腿…老爹狂点头，老妈……

"
"
璃白°
","


公司之前都是固定车位，然后经常空的空，没地方停的没停放停，我机灵的在会议上建议按照先来先到的原则，又能刺激上班积极性，方案快速获得老板和与会者的表决通过。今天，老板应酬客户喝酒起晚了，开车在公司溜了一圈没车位，只好开车出去停在别人的厂区，然后气喘吁吁的一路小跑500米过来，火速召集大家一会儿开会。我有点慌。。。。

"
"
小四家的巫婆
","


和哥哥在说话，嫂子突然慌张地跑过来说：那边有个女的喊的特别惨，我想帮帮她，你有现金吗？哥哥掏出兜里唯一的两百块 ，嫂子抢了就跑。哥哥喊：那女的喊啥了？嫂子回头狡黠一笑：她说全场五折…………

"
"
捡尸大队大队长
","


老婆不会做菜，在家都是饭来张口的！我今天特意买了个菜谱放家里，想让她学学，结果下班回到家，就看到她坐在餐桌上看着我说“老公，你每天上班挺累的，回家还要做饭！现在还拿个菜谱让我点菜，这...这多不好意思啊

"
"
义行天下7
","


2000年吧，在工地做事！有天加班到凌晨两点多，那时还没有智能手机，更没有什么外 卖！肚子饿的咕噜咕噜响，没办法，我就跑到了工地厨房，抓起一颗大白菜切了起来，一会哥们小张进来了，问我:义哥，你准备做啥好吃的呢，大老远就闻着香！让我吃点可好？心想:这家伙真会说话，我还没做呢，刚切菜，就夸我！当时我笑答:我只会做凉拌白菜，其它不会，你会不会嫌我手脏？小张摸了摸肚子:不嫌，我肚子快饿扁了，！……做好小张吃了半盆白菜还有三个凉馒头，一直夸我拌的凉白菜好吃，比 肉 都好吃！特么难吃的我自己都吃
…
查看全文"
"
卖火柴的小妮子
","


天气可热了，上司在V心群说，比手气吧，谁抢的大的谁去买冰棍。然后丢了包出来。。。这红包原理谁不知道啊，谁抢先一般金额小啊，立马秒抢，看了下1分，激动不已。上司群里说，就你了，抢一分的。怎么可能，我仔细一看，我晕，怎么就发一包一个的包啊，都没人，肯定我最大。。。

"
